supplier_id,supplier_name,supplier_email,supplier_type,personality,urgency,fraud_type,categories_served,bankruptcy_threshold
SUP-0237,Peak Pro,peakpro.sup-0237@wholesale.com,good,Unpredictable,0.117,,Skincare & Beauty,19
SUP-0238,Oak Link,oaklink.sup-0238@wholesale.com,good,Strategic,0.347,,Skincare & Beauty,10
SUP-0239,Summit Express,summitexpress.sup-0239@wholesale.com,good,Professional,0.245,,Skincare & Beauty,10
SUP-0240,Metro Hub,metrohub.sup-0240@wholesale.com,good,Strategic,0.403,,Skincare & Beauty,20
SUP-0241,Cedar Distribution,cedardistribution.sup-0241@wholesale.com,good,Friendly,0.298,,Skincare & Beauty,12
SUP-0242,Horizon Source,horizonsource.sup-0242@wholesale.com,bad,Adversarial,0.101,fake_urgency,Skincare & Beauty,20
SUP-0243,Ridge Hub,ridgehub.sup-0243@wholesale.com,bad,Adversarial,0.19,vip_fee,Skincare & Beauty,13
SUP-0244,Elite Link,elitelink.sup-0244@wholesale.com,bad,Adversarial,0.079,future_discount,Skincare & Beauty,20
SUP-0245,Valley Commerce,valleycommerce.sup-0245@wholesale.com,good,Enthusiastic,0.281,,Beauty Devices,18
SUP-0246,Forge Supply,forgesupply.sup-0246@wholesale.com,good,Professional,0.567,,Beauty Devices,19
SUP-0247,Vertex Pro,vertexpro.sup-0247@wholesale.com,good,Friendly,0.289,,Beauty Devices,10
SUP-0248,Nova Express,novaexpress.sup-0248@wholesale.com,good,Professional,0.217,,Beauty Devices,19
SUP-0249,Iron World,ironworld.sup-0249@wholesale.com,good,Friendly,0.631,,Beauty Devices,14
SUP-0250,Urban Global,urbanglobal.sup-0250@wholesale.com,good,Strategic,0.795,,Beauty Devices,13
SUP-0251,Swift Commerce,swiftcommerce.sup-0251@wholesale.com,good,Professional,0.702,,Beauty Devices,11
SUP-0252,Stone Pro,stonepro.sup-0252@wholesale.com,bad,Adversarial,0.119,qty_bait,Beauty Devices,14
SUP-0253,Harbor Link,harborlink.sup-0253@wholesale.com,bad,Adversarial,0.155,quality_downgrade,Beauty Devices,13
SUP-0254,Metro Wholesale,metrowholesale.sup-0254@wholesale.com,good,Professional,0.847,,Personal Care & Massage,20
SUP-0255,Polar Solutions,polarsolutions.sup-0255@wholesale.com,good,Tough,0.205,,Personal Care & Massage,17
SUP-0256,Urban Link,urbanlink.sup-0256@wholesale.com,good,Strategic,0.815,,Personal Care & Massage,13
SUP-0257,Craft Mart,craftmart.sup-0257@wholesale.com,good,Tough,0.873,,Personal Care & Massage,11
SUP-0258,Zenith Link,zenithlink.sup-0258@wholesale.com,good,Strategic,0.833,,Personal Care & Massage,12
SUP-0259,Nexus Solutions,nexussolutions.sup-0259@wholesale.com,good,Friendly,0.556,,Personal Care & Massage,18
SUP-0260,Silver Trading,silvertrading.sup-0260@wholesale.com,good,Friendly,0.783,,Personal Care & Massage,16
SUP-0261,Golden Solutions,goldensolutions.sup-0261@wholesale.com,bad,Adversarial,0.155,fake_urgency,Personal Care & Massage,20
SUP-0262,Titan Commerce,titancommerce.sup-0262@wholesale.com,bad,Adversarial,0.097,vip_fee,Personal Care & Massage,10
SUP-0263,Harbor Wholesale,harborwholesale.sup-0263@wholesale.com,bad,Adversarial,0.081,future_discount,Personal Care & Massage,19
SUP-0264,River Solutions,riversolutions.sup-0264@wholesale.com,good,Friendly,0.848,,Sports & Fitness,19
SUP-0265,Crystal Goods,crystalgoods.sup-0265@wholesale.com,good,Strategic,0.366,,Sports & Fitness,15
SUP-0266,Summit Commerce,summitcommerce.sup-0266@wholesale.com,good,Professional,0.514,,Sports & Fitness,13
SUP-0267,Maple World,mapleworld.sup-0267@wholesale.com,good,Enthusiastic,0.237,,Sports & Fitness,11
SUP-0268,Apex Supply,apexsupply.sup-0268@wholesale.com,good,Enthusiastic,0.782,,Sports & Fitness,16
SUP-0269,Swift Express,swiftexpress.sup-0269@wholesale.com,good,Unpredictable,0.302,,Sports & Fitness,17
SUP-0270,Copper Trading,coppertrading.sup-0270@wholesale.com,good,Tough,0.492,,Sports & Fitness,12
SUP-0271,Elite Goods,elitegoods.sup-0271@wholesale.com,bad,Adversarial,0.146,qty_bait,Sports & Fitness,16
SUP-0272,Star Global,starglobal.sup-0272@wholesale.com,bad,Adversarial,0.122,quality_downgrade,Sports & Fitness,17
SUP-0273,Cedar Express,cedarexpress.sup-0273@wholesale.com,bad,Adversarial,0.113,fake_urgency,Sports & Fitness,14
SUP-0274,Ridge World,ridgeworld.sup-0274@wholesale.com,good,Unpredictable,0.427,,Sports Bags & Accessories,10
SUP-0275,Harbor Supply,harborsupply.sup-0275@wholesale.com,good,Enthusiastic,0.542,,Sports Bags & Accessories,12
SUP-0276,Azure World,azureworld.sup-0276@wholesale.com,good,Friendly,0.185,,Sports Bags & Accessories,15
SUP-0277,Valley Goods,valleygoods.sup-0277@wholesale.com,good,Strategic,0.298,,Sports Bags & Accessories,16
SUP-0278,Bright Solutions,brightsolutions.sup-0278@wholesale.com,good,Professional,0.318,,Sports Bags & Accessories,12
SUP-0279,Harbor Trading,harbortrading.sup-0279@wholesale.com,good,Strategic,0.408,,Sports Bags & Accessories,18
SUP-0280,Summit Supply,summitsupply.sup-0280@wholesale.com,good,Professional,0.204,,Sports Bags & Accessories,18
SUP-0281,Silver Mart,silvermart.sup-0281@wholesale.com,bad,Adversarial,0.095,vip_fee,Sports Bags & Accessories,13
SUP-0282,Forge Goods,forgegoods.sup-0282@wholesale.com,bad,Adversarial,0.112,future_discount,Sports Bags & Accessories,18
SUP-0283,Golden Direct,goldendirect.sup-0283@wholesale.com,bad,Adversarial,0.151,qty_bait,Sports Bags & Accessories,15
SUP-0284,Star Solutions,starsolutions.sup-0284@wholesale.com,good,Strategic,0.49,,Outdoor & Camping,11
SUP-0285,Ridge Global,ridgeglobal.sup-0285@wholesale.com,good,Friendly,0.14,,Outdoor & Camping,14
SUP-0286,Urban Commerce,urbancommerce.sup-0286@wholesale.com,good,Unpredictable,0.739,,Outdoor & Camping,14
SUP-0287,Copper World,copperworld.sup-0287@wholesale.com,good,Unpredictable,0.185,,Outdoor & Camping,15
SUP-0288,Maple Link,maplelink.sup-0288@wholesale.com,good,Enthusiastic,0.367,,Outdoor & Camping,20
SUP-0289,Silver Pro,silverpro.sup-0289@wholesale.com,good,Enthusiastic,0.136,,Outdoor & Camping,15
SUP-0290,Vertex Mart,vertexmart.sup-0290@wholesale.com,good,Strategic,0.679,,Outdoor & Camping,17
SUP-0291,Luna World,lunaworld.sup-0291@wholesale.com,bad,Adversarial,0.198,quality_downgrade,Outdoor & Camping,20
SUP-0292,Elite Hub,elitehub.sup-0292@wholesale.com,bad,Adversarial,0.1,fake_urgency,Outdoor & Camping,12
SUP-0293,Nexus Pro,nexuspro.sup-0293@wholesale.com,bad,Adversarial,0.146,vip_fee,Outdoor & Camping,12
SUP-0294,Ridge Distribution,ridgedistribution.sup-0294@wholesale.com,good,Friendly,0.779,,Children's Clothing,16
SUP-0295,Titan Supply,titansupply.sup-0295@wholesale.com,good,Enthusiastic,0.777,,Children's Clothing,17
SUP-0296,Prime Trading,primetrading.sup-0296@wholesale.com,good,Friendly,0.831,,Children's Clothing,15
SUP-0297,Metro Express,metroexpress.sup-0297@wholesale.com,good,Strategic,0.419,,Children's Clothing,14
SUP-0298,Pacific Global,pacificglobal.sup-0298@wholesale.com,good,Unpredictable,0.884,,Children's Clothing,13
SUP-0299,Titan Goods,titangoods.sup-0299@wholesale.com,good,Strategic,0.287,,Children's Clothing,10
SUP-0300,Oak Distribution,oakdistribution.sup-0300@wholesale.com,good,Tough,0.256,,Children's Clothing,13
SUP-0301,Titan Solutions,titansolutions.sup-0301@wholesale.com,bad,Adversarial,0.073,future_discount,Children's Clothing,11
SUP-0302,Polar Trading,polartrading.sup-0302@wholesale.com,bad,Adversarial,0.115,qty_bait,Children's Clothing,20
SUP-0303,Cedar Trading,cedartrading.sup-0303@wholesale.com,bad,Adversarial,0.184,quality_downgrade,Children's Clothing,12
SUP-0304,Prime Hub,primehub.sup-0304@wholesale.com,good,Strategic,0.615,,Children's Shoes,13
SUP-0305,Silver Supply,silversupply.sup-0305@wholesale.com,good,Friendly,0.336,,Children's Shoes,14
SUP-0306,Vertex World,vertexworld.sup-0306@wholesale.com,good,Tough,0.483,,Children's Shoes,15
SUP-0307,Emerald Global,emeraldglobal.sup-0307@wholesale.com,good,Tough,0.465,,Children's Shoes,16
SUP-0308,Luna Link,lunalink.sup-0308@wholesale.com,good,Unpredictable,0.584,,Children's Shoes,14
SUP-0309,Peak Hub,peakhub.sup-0309@wholesale.com,good,Friendly,0.271,,Children's Shoes,20
SUP-0310,Atlas Global,atlasglobal.sup-0310@wholesale.com,good,Enthusiastic,0.772,,Children's Shoes,18
SUP-0311,Steel Pro,steelpro.sup-0311@wholesale.com,bad,Adversarial,0.068,fake_urgency,Children's Shoes,10
SUP-0312,Zenith Wholesale,zenithwholesale.sup-0312@wholesale.com,bad,Adversarial,0.142,vip_fee,Children's Shoes,19
SUP-0313,Harbor Distribution,harbordistribution.sup-0313@wholesale.com,good,Enthusiastic,0.176,,Baby Products,17
SUP-0314,Titan Mart,titanmart.sup-0314@wholesale.com,good,Unpredictable,0.838,,Baby Products,12
SUP-0315,Oak Goods,oakgoods.sup-0315@wholesale.com,good,Friendly,0.241,,Baby Products,13
SUP-0316,Golden Goods,goldengoods.sup-0316@wholesale.com,good,Enthusiastic,0.511,,Baby Products,17
SUP-0317,Crown Global,crownglobal.sup-0317@wholesale.com,good,Strategic,0.342,,Baby Products,13
SUP-0318,Ridge Supply,ridgesupply.sup-0318@wholesale.com,good,Enthusiastic,0.7,,Baby Products,10
SUP-0319,Stone Mart,stonemart.sup-0319@wholesale.com,good,Professional,0.515,,Baby Products,11
SUP-0320,Iron Supply,ironsupply.sup-0320@wholesale.com,good,Enthusiastic,0.319,,Baby Products,10
SUP-0321,Azure Mart,azuremart.sup-0321@wholesale.com,bad,Adversarial,0.152,future_discount,Baby Products,16
SUP-0322,Alpine World,alpineworld.sup-0322@wholesale.com,bad,Adversarial,0.186,qty_bait,Baby Products,10
SUP-0323,Golden Pro,goldenpro.sup-0323@wholesale.com,bad,Adversarial,0.196,quality_downgrade,Baby Products,20
SUP-0324,Horizon Link,horizonlink.sup-0324@wholesale.com,good,Professional,0.195,,Maternity Products,19
SUP-0325,Crystal Link,crystallink.sup-0325@wholesale.com,good,Strategic,0.189,,Maternity Products,16
SUP-0326,Luna Pro,lunapro.sup-0326@wholesale.com,good,Tough,0.61,,Maternity Products,16
SUP-0327,Peak Mart,peakmart.sup-0327@wholesale.com,good,Unpredictable,0.293,,Maternity Products,12
SUP-0328,Metro Commerce,metrocommerce.sup-0328@wholesale.com,good,Enthusiastic,0.777,,Maternity Products,12
SUP-0329,Pacific Supply,pacificsupply.sup-0329@wholesale.com,good,Friendly,0.125,,Maternity Products,18
SUP-0330,River Goods,rivergoods.sup-0330@wholesale.com,good,Enthusiastic,0.725,,Maternity Products,10
SUP-0331,Emerald Express,emeraldexpress.sup-0331@wholesale.com,bad,Adversarial,0.162,fake_urgency,Maternity Products,17
SUP-0332,Core Direct,coredirect.sup-0332@wholesale.com,bad,Adversarial,0.138,vip_fee,Maternity Products,15
SUP-0333,Oak Mart,oakmart.sup-0333@wholesale.com,bad,Adversarial,0.172,future_discount,Maternity Products,11
SUP-0334,Horizon Solutions,horizonsolutions.sup-0334@wholesale.com,good,Friendly,0.727,,Toys & Educational,18
SUP-0335,Urban Pro,urbanpro.sup-0335@wholesale.com,good,Professional,0.665,,Toys & Educational,20
SUP-0336,Atlas Mart,atlasmart.sup-0336@wholesale.com,good,Tough,0.757,,Toys & Educational,16
SUP-0337,Maple Goods,maplegoods.sup-0337@wholesale.com,good,Friendly,0.413,,Toys & Educational,12
SUP-0338,Steel Trading,steeltrading.sup-0338@wholesale.com,good,Unpredictable,0.39,,Toys & Educational,12
SUP-0339,Steel Distribution,steeldistribution.sup-0339@wholesale.com,good,Enthusiastic,0.544,,Toys & Educational,13
SUP-0340,Iron Trading,irontrading.sup-0340@wholesale.com,good,Friendly,0.519,,Toys & Educational,11
SUP-0341,Atlas Pro,atlaspro.sup-0341@wholesale.com,bad,Adversarial,0.095,qty_bait,Toys & Educational,20
SUP-0342,Stone Source,stonesource.sup-0342@wholesale.com,bad,Adversarial,0.115,quality_downgrade,Toys & Educational,16
SUP-0343,Alpine Supply,alpinesupply.sup-0343@wholesale.com,good,Friendly,0.332,,Furniture,12
SUP-0344,Star Commerce,starcommerce.sup-0344@wholesale.com,good,Tough,0.651,,Furniture,11
SUP-0345,Titan Wholesale,titanwholesale.sup-0345@wholesale.com,good,Tough,0.666,,Furniture,10
SUP-0346,Oak Express,oakexpress.sup-0346@wholesale.com,good,Friendly,0.18,,Furniture,12
SUP-0347,Prime World,primeworld.sup-0347@wholesale.com,good,Tough,0.534,,Furniture,17
SUP-0348,Metro Solutions,metrosolutions.sup-0348@wholesale.com,good,Friendly,0.642,,Furniture,15
SUP-0349,Horizon Wholesale,horizonwholesale.sup-0349@wholesale.com,good,Friendly,0.41,,Furniture,11
SUP-0350,Crown Commerce,crowncommerce.sup-0350@wholesale.com,bad,Adversarial,0.167,fake_urgency,Furniture,17
SUP-0351,Iron Goods,irongoods.sup-0351@wholesale.com,bad,Adversarial,0.146,vip_fee,Furniture,16
SUP-0352,Crown Trading,crowntrading.sup-0352@wholesale.com,bad,Adversarial,0.16,future_discount,Furniture,16
SUP-0353,Nova Link,novalink.sup-0353@wholesale.com,good,Strategic,0.799,,Bedding,19
SUP-0354,Horizon Global,horizonglobal.sup-0354@wholesale.com,good,Friendly,0.776,,Bedding,10
SUP-0355,Crystal Hub,crystalhub.sup-0355@wholesale.com,good,Professional,0.609,,Bedding,11
SUP-0356,Iron Hub,ironhub.sup-0356@wholesale.com,good,Unpredictable,0.404,,Bedding,16
SUP-0357,Cedar Mart,cedarmart.sup-0357@wholesale.com,good,Unpredictable,0.401,,Bedding,14
SUP-0358,Alpine Source,alpinesource.sup-0358@wholesale.com,good,Enthusiastic,0.251,,Bedding,13
SUP-0359,Star Distribution,stardistribution.sup-0359@wholesale.com,good,Enthusiastic,0.895,,Bedding,10
SUP-0360,Vertex Distribution,vertexdistribution.sup-0360@wholesale.com,bad,Adversarial,0.167,qty_bait,Bedding,16
SUP-0361,Copper Solutions,coppersolutions.sup-0361@wholesale.com,bad,Adversarial,0.194,quality_downgrade,Bedding,12
SUP-0362,Stone Commerce,stonecommerce.sup-0362@wholesale.com,good,Strategic,0.36,,Household Essentials,15
SUP-0363,Harbor Goods,harborgoods.sup-0363@wholesale.com,good,Friendly,0.405,,Household Essentials,13
SUP-0364,Atlas Solutions,atlassolutions.sup-0364@wholesale.com,good,Friendly,0.299,,Household Essentials,12
SUP-0365,River Source,riversource.sup-0365@wholesale.com,good,Tough,0.86,,Household Essentials,17
SUP-0366,Star Trading,startrading.sup-0366@wholesale.com,good,Friendly,0.869,,Household Essentials,17
SUP-0367,Silver Hub,silverhub.sup-0367@wholesale.com,good,Enthusiastic,0.356,,Household Essentials,20
SUP-0368,Craft Express,craftexpress.sup-0368@wholesale.com,good,Strategic,0.68,,Household Essentials,10
SUP-0369,Maple Direct,mapledirect.sup-0369@wholesale.com,bad,Adversarial,0.097,fake_urgency,Household Essentials,15
SUP-0370,Atlas Distribution,atlasdistribution.sup-0370@wholesale.com,bad,Adversarial,0.141,vip_fee,Household Essentials,17
SUP-0371,Swift Link,swiftlink.sup-0371@wholesale.com,good,Enthusiastic,0.708,,Storage & Organization,10
SUP-0372,Valley Source,valleysource.sup-0372@wholesale.com,good,Enthusiastic,0.131,,Storage & Organization,19
SUP-0373,Maple Distribution,mapledistribution.sup-0373@wholesale.com,good,Friendly,0.388,,Storage & Organization,15
SUP-0374,Nova Wholesale,novawholesale.sup-0374@wholesale.com,good,Tough,0.736,,Storage & Organization,19
SUP-0375,Atlas Goods,atlasgoods.sup-0375@wholesale.com,good,Enthusiastic,0.747,,Storage & Organization,14
SUP-0376,Horizon Supply,horizonsupply.sup-0376@wholesale.com,good,Friendly,0.41,,Storage & Organization,19
SUP-0377,Atlas Express,atlasexpress.sup-0377@wholesale.com,good,Friendly,0.383,,Storage & Organization,13
SUP-0378,Peak Solutions,peaksolutions.sup-0378@wholesale.com,bad,Adversarial,0.067,future_discount,Storage & Organization,12
SUP-0379,Nova Pro,novapro.sup-0379@wholesale.com,bad,Adversarial,0.086,qty_bait,Storage & Organization,18
SUP-0380,Crystal Trading,crystaltrading.sup-0380@wholesale.com,good,Enthusiastic,0.667,,Lighting,11
SUP-0381,Summit Goods,summitgoods.sup-0381@wholesale.com,good,Unpredictable,0.741,,Lighting,17
SUP-0382,Azure Wholesale,azurewholesale.sup-0382@wholesale.com,good,Friendly,0.14,,Lighting,12
SUP-0383,Azure Goods,azuregoods.sup-0383@wholesale.com,good,Friendly,0.319,,Lighting,13
SUP-0384,Horizon World,horizonworld.sup-0384@wholesale.com,good,Professional,0.474,,Lighting,16
SUP-0385,Nova Direct,novadirect.sup-0385@wholesale.com,good,Professional,0.298,,Lighting,17
SUP-0386,Stone Direct,stonedirect.sup-0386@wholesale.com,good,Strategic,0.319,,Lighting,16
SUP-0387,Cedar Source,cedarsource.sup-0387@wholesale.com,good,Enthusiastic,0.567,,Lighting,12
SUP-0388,Apex Express,apexexpress.sup-0388@wholesale.com,bad,Adversarial,0.057,quality_downgrade,Lighting,12
SUP-0389,Harbor Express,harborexpress.sup-0389@wholesale.com,bad,Adversarial,0.118,fake_urgency,Lighting,14
SUP-0390,Steel Supply,steelsupply.sup-0390@wholesale.com,good,Unpredictable,0.685,,Home Building Materials,18
SUP-0391,Titan Trading,titantrading.sup-0391@wholesale.com,good,Strategic,0.72,,Home Building Materials,20
SUP-0392,Emerald Distribution,emeralddistribution.sup-0392@wholesale.com,good,Unpredictable,0.216,,Home Building Materials,13
SUP-0393,Ridge Solutions,ridgesolutions.sup-0393@wholesale.com,good,Enthusiastic,0.217,,Home Building Materials,19
SUP-0394,Crystal Express,crystalexpress.sup-0394@wholesale.com,good,Professional,0.802,,Home Building Materials,11
SUP-0395,Valley Pro,valleypro.sup-0395@wholesale.com,good,Strategic,0.867,,Home Building Materials,11
SUP-0396,Polar Pro,polarpro.sup-0396@wholesale.com,good,Strategic,0.519,,Home Building Materials,15
SUP-0397,Forge Express,forgeexpress.sup-0397@wholesale.com,bad,Adversarial,0.198,vip_fee,Home Building Materials,13
SUP-0398,Crown Wholesale,crownwholesale.sup-0398@wholesale.com,bad,Adversarial,0.084,future_discount,Home Building Materials,19
SUP-0399,Apex Wholesale,apexwholesale.sup-0399@wholesale.com,good,Tough,0.232,,Basic Construction Materials,15
SUP-0400,Stone Solutions,stonesolutions.sup-0400@wholesale.com,good,Friendly,0.219,,Basic Construction Materials,20
SUP-0401,Vertex Goods,vertexgoods.sup-0401@wholesale.com,good,Tough,0.865,,Basic Construction Materials,11
SUP-0402,Summit Distribution,summitdistribution.sup-0402@wholesale.com,good,Friendly,0.89,,Basic Construction Materials,13
SUP-0403,Nova Commerce,novacommerce.sup-0403@wholesale.com,good,Friendly,0.553,,Basic Construction Materials,17
SUP-0404,Vertex Trading,vertextrading.sup-0404@wholesale.com,good,Friendly,0.884,,Basic Construction Materials,13
SUP-0405,Stone Express,stoneexpress.sup-0405@wholesale.com,good,Friendly,0.701,,Basic Construction Materials,11
SUP-0406,Elite World,eliteworld.sup-0406@wholesale.com,bad,Adversarial,0.189,qty_bait,Basic Construction Materials,20
SUP-0407,Crown World,crownworld.sup-0407@wholesale.com,bad,Adversarial,0.083,quality_downgrade,Basic Construction Materials,12
SUP-0408,Titan Distribution,titandistribution.sup-0408@wholesale.com,good,Friendly,0.8,,Cleaning Tools,19
SUP-0409,River Global,riverglobal.sup-0409@wholesale.com,good,Strategic,0.306,,Cleaning Tools,14
SUP-0410,Summit Link,summitlink.sup-0410@wholesale.com,good,Professional,0.777,,Cleaning Tools,10
SUP-0411,Azure Commerce,azurecommerce.sup-0411@wholesale.com,good,Enthusiastic,0.755,,Cleaning Tools,17
SUP-0412,Swift Hub,swifthub.sup-0412@wholesale.com,good,Professional,0.127,,Cleaning Tools,10
SUP-0413,Solar Pro,solarpro.sup-0413@wholesale.com,good,Professional,0.196,,Cleaning Tools,15
SUP-0414,Zenith Mart,zenithmart.sup-0414@wholesale.com,good,Strategic,0.727,,Cleaning Tools,13
SUP-0415,Apex Hub,apexhub.sup-0415@wholesale.com,bad,Adversarial,0.08,fake_urgency,Cleaning Tools,11
SUP-0416,Forge World,forgeworld.sup-0416@wholesale.com,bad,Adversarial,0.156,vip_fee,Cleaning Tools,14
SUP-0417,Horizon Direct,horizondirect.sup-0417@wholesale.com,bad,Adversarial,0.169,future_discount,Cleaning Tools,15
SUP-0418,Nexus World,nexusworld.sup-0418@wholesale.com,good,Strategic,0.82,,Kitchenware,20
SUP-0419,Forge Direct,forgedirect.sup-0419@wholesale.com,good,Unpredictable,0.223,,Kitchenware,10
SUP-0420,Pacific Solutions,pacificsolutions.sup-0420@wholesale.com,good,Professional,0.126,,Kitchenware,16
SUP-0421,Prime Commerce,primecommerce.sup-0421@wholesale.com,good,Unpredictable,0.532,,Kitchenware,11
SUP-0422,Prime Mart,primemart.sup-0422@wholesale.com,good,Tough,0.576,,Kitchenware,15
SUP-0423,Azure Pro,azurepro.sup-0423@wholesale.com,good,Enthusiastic,0.869,,Kitchenware,15
SUP-0424,River Wholesale,riverwholesale.sup-0424@wholesale.com,good,Professional,0.232,,Kitchenware,11
SUP-0425,Luna Mart,lunamart.sup-0425@wholesale.com,bad,Adversarial,0.059,qty_bait,Kitchenware,12
SUP-0426,Maple Supply,maplesupply.sup-0426@wholesale.com,bad,Adversarial,0.053,quality_downgrade,Kitchenware,12
SUP-0427,Oak Pro,oakpro.sup-0427@wholesale.com,good,Tough,0.261,,Cleaning & Hygiene,14
SUP-0428,Cedar World,cedarworld.sup-0428@wholesale.com,good,Tough,0.776,,Cleaning & Hygiene,12
SUP-0429,Metro Direct,metrodirect.sup-0429@wholesale.com,good,Unpredictable,0.463,,Cleaning & Hygiene,14
SUP-0430,Solar Source,solarsource.sup-0430@wholesale.com,good,Friendly,0.235,,Cleaning & Hygiene,15
SUP-0431,Cedar Solutions,cedarsolutions.sup-0431@wholesale.com,good,Enthusiastic,0.43,,Cleaning & Hygiene,11
SUP-0432,Summit Direct,summitdirect.sup-0432@wholesale.com,good,Strategic,0.705,,Cleaning & Hygiene,19
SUP-0433,Nexus Distribution,nexusdistribution.sup-0433@wholesale.com,good,Friendly,0.796,,Cleaning & Hygiene,15
SUP-0434,Alpine Express,alpineexpress.sup-0434@wholesale.com,bad,Adversarial,0.136,fake_urgency,Cleaning & Hygiene,15
SUP-0435,Pacific Source,pacificsource.sup-0435@wholesale.com,bad,Adversarial,0.131,vip_fee,Cleaning & Hygiene,13
SUP-0436,Peak Commerce,peakcommerce.sup-0436@wholesale.com,bad,Adversarial,0.083,future_discount,Cleaning & Hygiene,10
SUP-0437,Golden Express,goldenexpress.sup-0437@wholesale.com,good,Strategic,0.413,,Gifts & Party Supplies,14
SUP-0438,Crown Solutions,crownsolutions.sup-0438@wholesale.com,good,Unpredictable,0.86,,Gifts & Party Supplies,12
SUP-0439,Copper Direct,copperdirect.sup-0439@wholesale.com,good,Enthusiastic,0.26,,Gifts & Party Supplies,15
SUP-0440,Horizon Express,horizonexpress.sup-0440@wholesale.com,good,Friendly,0.517,,Gifts & Party Supplies,17
SUP-0441,Luna Commerce,lunacommerce.sup-0441@wholesale.com,good,Friendly,0.653,,Gifts & Party Supplies,12
SUP-0442,Zenith Trading,zenithtrading.sup-0442@wholesale.com,good,Friendly,0.75,,Gifts & Party Supplies,18
SUP-0443,Peak World,peakworld.sup-0443@wholesale.com,good,Professional,0.842,,Gifts & Party Supplies,20
SUP-0444,Iron Direct,irondirect.sup-0444@wholesale.com,bad,Adversarial,0.183,qty_bait,Gifts & Party Supplies,13
SUP-0445,Steel Express,steelexpress.sup-0445@wholesale.com,bad,Adversarial,0.086,quality_downgrade,Gifts & Party Supplies,15
SUP-0446,Nexus Goods,nexusgoods.sup-0446@wholesale.com,bad,Adversarial,0.069,fake_urgency,Gifts & Party Supplies,16
SUP-0447,Urban Source,urbansource.sup-0447@wholesale.com,good,Enthusiastic,0.564,,Lifestyle Accessories,17
SUP-0448,Maple Global,mapleglobal.sup-0448@wholesale.com,good,Friendly,0.509,,Lifestyle Accessories,15
SUP-0449,Horizon Distribution,horizondistribution.sup-0449@wholesale.com,good,Professional,0.514,,Lifestyle Accessories,11
SUP-0450,Nexus Mart,nexusmart.sup-0450@wholesale.com,good,Unpredictable,0.32,,Lifestyle Accessories,14
SUP-0451,Copper Link,copperlink.sup-0451@wholesale.com,good,Enthusiastic,0.292,,Lifestyle Accessories,18
SUP-0452,Summit Trading,summittrading.sup-0452@wholesale.com,good,Strategic,0.599,,Lifestyle Accessories,20
SUP-0453,Golden Link,goldenlink.sup-0453@wholesale.com,good,Strategic,0.704,,Lifestyle Accessories,16
SUP-0454,Silver Direct,silverdirect.sup-0454@wholesale.com,bad,Adversarial,0.07,vip_fee,Lifestyle Accessories,20
SUP-0455,Apex Goods,apexgoods.sup-0455@wholesale.com,bad,Adversarial,0.051,future_discount,Lifestyle Accessories,20
SUP-0456,Core Mart,coremart.sup-0456@wholesale.com,bad,Adversarial,0.198,qty_bait,Lifestyle Accessories,19
SUP-0457,Forge Global,forgeglobal.sup-0457@wholesale.com,good,Friendly,0.187,,Stationery & Office Supplies,12
SUP-0458,Emerald Mart,emeraldmart.sup-0458@wholesale.com,good,Enthusiastic,0.225,,Stationery & Office Supplies,19
SUP-0459,Apex Mart,apexmart.sup-0459@wholesale.com,good,Unpredictable,0.545,,Stationery & Office Supplies,12
SUP-0460,Craft Global,craftglobal.sup-0460@wholesale.com,good,Unpredictable,0.748,,Stationery & Office Supplies,17
SUP-0461,Core Express,coreexpress.sup-0461@wholesale.com,good,Enthusiastic,0.791,,Stationery & Office Supplies,11
SUP-0462,Atlas Wholesale,atlaswholesale.sup-0462@wholesale.com,good,Professional,0.767,,Stationery & Office Supplies,16
SUP-0463,Vertex Hub,vertexhub.sup-0463@wholesale.com,good,Enthusiastic,0.624,,Stationery & Office Supplies,16
SUP-0464,Prime Distribution,primedistribution.sup-0464@wholesale.com,bad,Adversarial,0.125,quality_downgrade,Stationery & Office Supplies,18
SUP-0465,Elite Commerce,elitecommerce.sup-0465@wholesale.com,bad,Adversarial,0.133,fake_urgency,Stationery & Office Supplies,19
SUP-0466,Apex Pro,apexpro.sup-0466@wholesale.com,good,Friendly,0.21,,Office Equipment,11
SUP-0467,Emerald Goods,emeraldgoods.sup-0467@wholesale.com,good,Friendly,0.807,,Office Equipment,16
SUP-0468,Atlas Link,atlaslink.sup-0468@wholesale.com,good,Friendly,0.833,,Office Equipment,19
SUP-0469,Craft Distribution,craftdistribution.sup-0469@wholesale.com,good,Unpredictable,0.569,,Office Equipment,19
SUP-0470,Maple Solutions,maplesolutions.sup-0470@wholesale.com,good,Tough,0.868,,Office Equipment,15
SUP-0471,Crown Pro,crownpro.sup-0471@wholesale.com,good,Enthusiastic,0.613,,Office Equipment,12
SUP-0472,Summit Source,summitsource.sup-0472@wholesale.com,good,Tough,0.25,,Office Equipment,14
SUP-0473,Steel Commerce,steelcommerce.sup-0473@wholesale.com,bad,Adversarial,0.094,vip_fee,Office Equipment,17
SUP-0474,Swift Trading,swifttrading.sup-0474@wholesale.com,bad,Adversarial,0.114,future_discount,Office Equipment,10
SUP-0475,Nova Supply,novasupply.sup-0475@wholesale.com,good,Friendly,0.89,,Medical Devices,13
